I_q1_15	I_q2_15	Q_q1_15	Q_q2_15
-9.11526e+10	1.81574e+11	-1.67877e+11	-2.47937e+11
3.94502e+11	3.78164e+11	-2.16506e+11	-3.08243e+11
7.40308e+10	2.24015e+11	-1.89414e+11	-1.20492e+11
-2.16391e+11	8.4687e+10	-1.69681e+11	-1.35146e+11
-1.13507e+11	9.63721e+10	-1.28366e+11	-1.01998e+11
-1.24946e+10	4.36166e+11	-1.14326e+11	-2.67076e+11
1.81234e+11	6.35604e+11	-1.45659e+10	-2.22062e+11
-3.16303e+10	-5.18061e+10	-9.11299e+10	-1.4916e+11
1.41934e+11	9.65718e+10	-2.37652e+11	-9.964e+10
1.38094e+11	4.34239e+11	-4.33363e+09	-4.25352e+11
-8.93861e+10	3.19726e+11	-3.56551e+11	-1.34888e+11
1.40756e+11	1.57705e+11	-2.46334e+11	-2.97539e+11
5.06679e+11	3.25772e+11	-2.44416e+11	-1.2903e+11
9.8148e+10	9.97916e+10	-1.78955e+11	-3.11118e+11
2.97169e+11	3.45901e+11	-2.61734e+11	-1.70441e+11
-1.61517e+10	1.08907e+11	-3.26356e+11	1.57598e+11
2.37275e+11	2.25236e+11	-2.27853e+11	-2.46424e+11
-2.71302e+11	-1.17783e+11	-3.43721e+11	-2.75952e+11
9.38553e+10	3.13968e+11	-4.79938e+11	-4.1199e+11
3.77792e+11	-1.10567e+10	-1.36679e+11	-2.0657e+11
-2.12392e+11	7.89363e+10	-2.15483e+11	-2.1206e+11
4.4704e+11	4.66191e+11	-5.76578e+10	-2.08516e+11
-4.7956e+10	2.46974e+11	-1.33669e+11	-2.24118e+11
-3.60715e+11	1.29564e+11	-2.92516e+11	-2.22001e+10
1.18618e+11	5.15882e+10	-8.33653e+10	-9.65703e+10
2.89051e+11	2.42367e+11	-2.46393e+11	-2.4464e+09
-2.34114e+11	8.24332e+09	-2.98059e+11	-3.69999e+11
2.85421e+11	1.55146e+11	-1.94447e+11	-8.75909e+10
4.95385e+10	-3.21283e+11	-2.44888e+11	-2.68498e+11
1.32209e+11	3.29376e+11	3.61279e+10	-1.48897e+11
3.79878e+11	1.73652e+11	-2.3324e+09	-2.54576e+11
3.69639e+11	2.60001e+11	-1.34813e+11	8.43864e+10
-2.34287e+10	1.52995e+11	-7.63882e+10	3.57918e+10
9.02414e+09	-3.93673e+11	-2.00874e+11	-2.2995e+11
-9.15065e+10	2.28117e+11	-1.70048e+11	-3.59957e+11
1.14161e+11	2.84557e+11	-4.20198e+11	-1.16244e+10
-3.49644e+11	6.38768e+10	-1.1448e+11	-1.2831e+11
7.48865e+10	2.88834e+11	-2.93463e+11	-1.31093e+11
-6.82417e+10	2.11075e+09	-2.17567e+11	-2.19455e+11
2.72923e+11	-1.38869e+11	-2.51268e+11	-4.01676e+11
2.44318e+11	1.83832e+11	1.01843e+11	-3.67161e+10
3.52673e+11	-9.55276e+09	-6.6302e+10	-7.9206e+10
3.60961e+11	4.67459e+11	-1.21841e+11	-3.94987e+11
-9.95114e+10	-2.22563e+11	-2.6323e+11	-4.3894e+10
-7.05529e+10	-1.17394e+11	-3.4996e+11	-3.36454e+11
-1.15515e+11	-4.36492e+10	7.76429e+10	-1.03307e+11
1.73789e+11	3.22537e+11	-6.43313e+10	-1.24539e+11
2.173e+11	2.93566e+11	-1.95676e+11	-9.45173e+10
5.75614e+11	4.67978e+11	-1.10891e+11	-2.0527e+11
-3.78329e+10	4.49239e+11	-1.1789e+11	-4.40184e+11
-9.44994e+10	-3.4963e+10	-2.03304e+11	-2.10301e+11
-7.49633e+10	-7.89378e+10	-8.29469e+10	-2.71487e+11
2.05071e+11	1.66886e+11	-2.92315e+11	-8.44222e+10
5.80402e+11	1.83664e+11	-3.20025e+11	-1.52956e+11
4.71393e+11	1.1225e+11	-2.00785e+11	-1.92957e+11
-3.09829e+10	-8.37471e+10	-2.97392e+11	1.11928e+11
3.35827e+10	-5.3234e+10	-1.52762e+11	-2.25195e+11
2.38193e+11	5.2189e+11	-2.20417e+11	-3.44815e+11
1.62778e+11	1.75357e+11	-1.10682e+11	-2.1439e+11
1.4369e+11	5.4994e+11	-4.25112e+10	-2.09149e+11
-4.60736e+10	1.91514e+11	-4.39796e+11	-1.53281e+10
-1.96338e+11	-1.8695e+11	-2.72634e+11	-9.07198e+10
-7.99417e+10	6.71826e+11	-1.92684e+11	-5.13081e+10
-2.90513e+11	2.74215e+10	-1.80146e+11	-1.13615e+11
2.82668e+11	4.01881e+11	8.0749e+10	-4.95546e+11
2.09894e+11	1.63011e+10	-2.08872e+11	-2.25816e+11
8.55979e+10	1.01858e+11	-1.29249e+10	6.12799e+10
2.3414e+11	6.08131e+11	-1.43122e+11	3.30169e+10
3.83639e+11	5.05556e+11	-6.82853e+10	-1.16566e+11
2.03593e+11	-1.08485e+11	-1.7808e+11	-4.87726e+10
3.04106e+11	4.79773e+11	-1.20613e+11	-1.65785e+11
3.67037e+11	7.80262e+10	3.36487e+10	-4.07197e+11
1.72592e+11	3.00183e+11	-1.25763e+11	-1.57494e+11
7.67287e+10	3.37148e+11	2.31937e+10	-7.21574e+10
4.1388e+09	-2.74606e+11	2.43161e+10	-3.25895e+11
5.24415e+11	4.70621e+11	-1.16223e+11	-2.30204e+11
2.46188e+11	2.75093e+11	-1.5195e+11	-3.88061e+11
2.41745e+11	5.91438e+10	1.30149e+11	-3.99909e+11
-6.89883e+10	1.32521e+11	-3.7259e+11	-7.62086e+10
5.66644e+11	2.66144e+11	-6.69971e+10	-7.09444e+10
2.35066e+08	-6.98261e+10	5.56819e+10	-3.93721e+11
4.19332e+11	-8.73517e+10	-3.74563e+11	-1.18005e+11
-2.63119e+11	1.92918e+11	-3.43625e+11	-1.57062e+11
2.2579e+09	-6.82972e+10	-2.08239e+11	-2.03733e+11
-3.88231e+10	3.22127e+11	-4.04333e+11	-3.11472e+10
-6.62323e+10	1.06565e+11	-1.61546e+11	-6.03593e+11
-3.26909e+10	-1.59599e+11	-1.13079e+11	-1.97806e+11
-6.48502e+10	-1.07241e+11	-4.16849e+11	-1.56381e+11
2.04194e+11	5.27877e+11	-2.25308e+11	-1.05212e+11
6.3191e+10	4.67771e+11	-2.025e+11	-2.82355e+11
1.29289e+11	3.93464e+11	-5.47361e+10	-1.90399e+11
2.71123e+10	5.69319e+11	-5.25492e+11	-3.67109e+10
1.47093e+11	8.93481e+10	-2.60087e+11	-5.88417e+10
